"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"CONNECTOR-DC-POWER-RA";"DCJ0202";"CON1";"DC POWER JACK";"";
"1";"";"CONNECTOR-M063.5MM-6";"SCREWTERMINAL-3.5MM-6";"CON2";"Header 6  Standard 6-pin 0.1" header";"";
"1";"";"DB9FEMALE";"DB9";"X1";"DB9 Connector";"";
"1";"10K";"RPTH04";"AXIAL-0.4-RES";"R1";"Resistor";"";
"1";"1N4002";"DIODEPTH";"DIODE-1N4001";"D2";"Diode";"";
"1";"1N4148";"DIODE1N4148";"DIODE-1N4148";"D1";"Diode";"";
"1";"FQP30N06L";"MOSFET-N--TO220V";"TO220V";"Q1";"CJ2302:SMD MOSFET N-CH 20V-2.1A DMN4468 - SO8 30v/10A";"";
